"taxonName","taxon_author","subtaxon_author","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","hybrid","subspecies","variety","introduction_status","provincial_conservation_status","national_conservation_status","occurrence_status","observation","last_record_date","last_record_observer","last_record_soruce","last_record_ID","gbif_ID","first_record_date","first_record_observer","linkTaxonID","notes","ID","stats_code","linkName","graminoid_status","infrataxon_status","provincial_concern","national_concern","provenance_status","solow_BF","solow_EP","solow_PP"
"Adiantum aleuticum var. aleuticum","(Rupr.) Paris","","western maidenhair fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae",NA,"Polypodiales","Pteridineae",NA,"Pteridaceae","Vittarioideae","","","","aleuticum","native","S5","","new 2017","observed","","","","",NA,"2017-05-19","Andrew Simon","iNat:6425140","",947668,"VAS","Adiantum aleuticum var. aleuticum","non-graminoid","infrataxon","secure","unknown","no_voucher",Inf,0,1
"Aegopodium podagraria","L.","","goutweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Apiales","",NA,"Apiaceae","Apioideae","Careae","","","","exotic","unlisted","","new 2023","observed","","","","",NA,"2023-09-13","Adam Huggins","iNat:183093294","",51741,"VAS","Aegopodium podagraria","non-graminoid","non-infrataxon","unknown","unknown","no_voucher",Inf,0,1
"Aesculus hippocastanum","L.","","horse chestnut","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Sapindales","",NA,"Sapindaceae","","","","","","exotic","unlisted","","new 2016","observed","","","","",NA,"2016-05-13","Andrew Simon","iNat:3329680","",84298,"VAS","Aesculus hippocastanum","non-graminoid","non-infrataxon","unknown","unknown","no_voucher",Inf,0,1
"Agoseris grandiflora var. leptophylla","(Nutt.) Greene","G. I. Baird","large-flowered agoseris","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales","",NA,"Asteraceae","Cichorioideae","Cichorieae","","","leptophylla","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-04-23","Lauren Magner & Andrew Simon","iNat:3040898","",80332,"VAS","Agoseris grandiflora var. leptophylla","non-graminoid","infrataxon","secure","unknown","no_voucher",126.499,0.008,0.992
"Agoseris heterophylla ssp. heterophylla","Kuntze","","annual agoseris","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales","",NA,"Asteraceae","Cichorioideae","Cichorieae","","heterophylla","","native","S5","","confirmed","observed","1988-04-23","Gerald B. Straley","UBC","V194354",NA,"2022-04-30","Andrew Simon","iNat:114122184","Bluff Park record. Still there? –QC; I think this voucher should be checked; A. grandiflora,a very different species, is known from Bluffs Park (see photo above)",56859,"VAS","Agoseris heterophylla ssp. heterophylla","non-graminoid","infrataxon","secure","unknown","unknown",NA,NA,NA
"Agrostis capillaris","L.","","colonial bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","exotic","unlisted","","confirmed","observed","1981-07-16","Harvey Janszen","RBCM","V113800",1949562802,"2018-06-27","Andrew Simon","iNat:13845807","",75312,"VAS","Agrostis capillaris","graminoid","non-infrataxon","unknown","unknown","voucher",Inf,0,1
"Agrostis exarata","Trin.","","spike bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","native","S5","","confirmed","observed","1981-07-16","Harvey Janszen","RBCM","V113799",1949562759,"2016-06-26","Andrew Simon","iNat:6677554","Reported asAgrostis exaratassp.minor (Hook.) C.L. Hitchc.(V113799)",59088,"VAS","Agrostis exarata","graminoid","non-infrataxon","secure","unknown","voucher",120.594,0.008,0.992
"Agrostis gigantea","Roth","","redtop","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","exotic","unlisted","","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"2020-07-10","Sylvie Hawkes","iNat:52922478","",75314,"VAS","Agrostis gigantea","graminoid","non-infrataxon","unknown","unknown","voucher",Inf,0,1
"Agrostis pallens","Trin.","","seashore bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","native","S4","","confirmed","observed","2022-06-12","Frank Lomer","UBC","13028",NA,"2022-06-12","Andrew Simon","iNat:121538541","",52692,"VAS","Agrostis pallens","graminoid","non-infrataxon","secure","unknown","unknown",NA,NA,NA
"Agrostis scabra","Willd.","","hair bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","native","S5","","reported","unobserved","1979-07-09","Harvey Janszen","RBCM","V097864",1949546889,"","","","",75319,"VAS","Agrostis scabra","graminoid","non-infrataxon","secure","unknown","voucher",Inf,0,1
"Agrostis stolonifera","L.","","creeping bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","exotic","unlisted","","new 2021","observed","","","","",NA,"2021-07-01","Andrew Simon","iNat:85291237","",69931,"VAS","Agrostis stolonifera","graminoid","non-infrataxon","unknown","unknown","no_voucher",24.4,0.039,0.961
"Aira caryophyllea","L.","","silver hairgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","exotic","unlisted","","confirmed","observed","1975-05-31","Angela Wood","RBCM","V097146",1949546264,"2015-05-28","Lauren Magner & Andrew Simon","iNat:2625010","",52694,"VAS","Aira caryophyllea","graminoid","non-infrataxon","unknown","unknown","voucher",Inf,0,1
"Aira praecox","L.","","early hairgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","exotic","unlisted","","confirmed","observed","1981-04-27","Harvey Janszen","RBCM","V113537",1949562644,"2016-07-10","Andrew Simon","iNat:3664526","",61058,"VAS","Aira praecox","graminoid","non-infrataxon","unknown","unknown","voucher",Inf,0,1
"Ajuga reptans","L.","","bugle-weed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Lamiales","",NA,"Lamiaceae","Ajugoideae","","","","","exotic","unlisted","","new 2013","observed","2022-06-15","Frank Lomer","UBC","13055",NA,"2013-04-21","Felix Erhard","iNat:2588447","",56099,"VAS","Ajuga reptans","non-graminoid","non-infrataxon","unknown","unknown","no_voucher",Inf,0,1
"Alcea rosea","L.","","hollyhock","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Malvales","",NA,"Malvaceae","Malvoideae","Malveae","","","","exotic","unlisted","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","",62205,"VAS","Alcea rosea","non-graminoid","non-infrataxon","unknown","unknown","unknown",NA,NA,NA
"Alchemilla arvensis","(L.) Scop.","","field parsley-piert","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Rosales","",NA,"Rosaceae","Rosoideae","Potentilleae","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2017-02-25","Andrew Simon","iNat:5178091","Aphanes arvensis and A. occidentalis syn. as Alchemilla arvensis",866483,"VAS","Alchemilla arvensis","non-graminoid","non-infrataxon","unknown","unknown","voucher",Inf,0,1
"Alchemilla occidentalis","ex Torr. & A.Gray","","western parsley-piert","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Rosales","",NA,"Rosaceae","Rosoideae","Potentilleae","","","","native","S5","","confirmed","observed","1983-05-01","Gerald B. Straley","UBC","V178669",NA,"2019-02-24","Andrew Simon","iNat:20739000","Coon Bay; exposed, grassy rocky areas above sea; Aphanes arvensis and A. occidentalis syn. as Alchemilla arvensis",866483,"VAS","Alchemilla occidentalis","non-graminoid","non-infrataxon","secure","unknown","no_voucher",Inf,0,1
"Allium acuminatum","Hook.","","Hooker's onion","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Asparagales","",NA,"Amaryllidaceae","Allioideae","Allieae","","","","native","S5","","confirmed","observed","1958-05-18","W. M. Bird","UBC","V80091",NA,"2016-05-25","Adam Huggins","iNat:3318703","",59782,"VAS","Allium acuminatum","non-graminoid","non-infrataxon","secure","unknown","unknown",NA,NA,NA
"Allium amplectens","Torr.","","slimleaf onion","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Asparagales","",NA,"Amaryllidaceae","Allioideae","Allieae","","","","native","S3 (2019)","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2017-05-14","Sarah Tweedale","iNat:6249542","",60267,"VAS","Allium amplectens","non-graminoid","non-infrataxon","concern","unknown","no_voucher",123.032,0.008,0.992
"Allium cernuum","Roth","","nodding onion","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Asparagales","",NA,"Amaryllidaceae","Allioideae","Allieae","","","","native","S5","","confirmed","observed","1996-05-21","Jenifer Penny, Charlotte Norris, & Harvey Janszen","RBCM","V178592",1949627030,"2016-05-25","Adam Huggins","iNat:3318682","",116364,"VAS","Allium cernuum","non-graminoid","non-infrataxon","secure","unknown","voucher",Inf,0,1
"Allium vineale","L.","","field garlic","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Asparagales","",NA,"Amaryllidaceae","Allioideae","Allieae","","","","exotic","unlisted","","new 2019","observed","2022-06-09","Frank Lomer","UBC","19224",NA,"2019-06-26","Adam Huggins","iNat:27844109","",75371,"VAS","Allium vineale","non-graminoid","non-infrataxon","unknown","unknown","unknown",NA,NA,NA
"Allotropa virgata","Torr. & A. Gray","","candystick","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ericales","",NA,"Ericaceae","Monotropoideae","","","","","native","S4","","confirmed","observed","1982-06-05","Harvey Janszen","RBCM","V119983",1949568884,"2018-05-10","Andrew Simon","iNat:12345119","matsutake associate",62481,"VAS","Allotropa virgata","non-graminoid","non-infrataxon","secure","unknown","voucher",53.081,0.018,0.982
"Alnus rubra","Bong.","","red alder","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Fagales","",NA,"Betulaceae","","","","","","native","S5","","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"2012-02-05","Ian Guthrie","iNat:4171727","",56034,"VAS","Alnus rubra","non-graminoid","non-infrataxon","secure","unknown","voucher",Inf,0,1
"Alopecurus geniculatus","L.","","water meadow-foxtail","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","exotic","unlisted","","confirmed","observed","1975-08-15","Angela Wood","RBCM","V097685",1949546729,"2022-06-12","Andrew Simon","iNat:121538413","Wet farm field sec-L-57",71140,"VAS","Alopecurus geniculatus","graminoid","non-infrataxon","unknown","unknown","voucher",3.379,0.228,0.772
"Alopecurus pratensis","L.","","meadow-foxtail","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","exotic","unlisted","","confirmed","observed","1981-07-16","Harvey Janszen","RBCM","V113802",1949562841,"2022-07-07","Adam Huggins","iNat:125219486","Meadow and farm fields",71141,"VAS","Alopecurus pratensis","graminoid","non-infrataxon","unknown","unknown","no_voucher",Inf,0,1
"Amaranthus powellii","S. Watson","","Powell's amaranth","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales","",NA,"Amaranthaceae","Amaranthoideae","","","","","exotic","unlisted","","confirmed","observed","1905-06-20","Harvey Janszen","RBCM","V113852",1949562824,"2016-07-31","Andrew Simon","iNat:3786981","",75398,"VAS","Amaranthus powellii","non-graminoid","non-infrataxon","unknown","unknown","unknown",NA,NA,NA
"Amaranthus retroflexus","L.","","rough pigweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales","",NA,"Amaranthaceae","Amaranthoideae","","","","","exotic","unlisted","","new 2018","observed","","","","",NA,"2018-09-10","Christopher Heffley","iNat:16400876","",58776,"VAS","Amaranthus retroflexus","non-graminoid","non-infrataxon","unknown","unknown","no_voucher",30.75,0.031,0.969
"Ambrosia chamissonis","(Less.) Greene","","silver burweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales","",NA,"Asteraceae","Asteroideae","Heliantheae","","","","native","S5","","new 2016","observed","","","","",NA,"2016-06-05","Andrew Simon","iNat:3404260","",71135,"VAS","Ambrosia chamissonis","non-graminoid","non-infrataxon","secure","unknown","no_voucher",24.897,0.039,0.961
"Amelanchier alnifolia","Lindl.","","saskatoon","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Rosales","",NA,"Rosaceae","Amygdaloideae","Maleae","","","","native","S5","","confirmed","observed","1980-03-29","Hans Roemer","ER 128 Inventory","",NA,"2015-03-13","Lauren Magner & Andrew Simon","iNat:2580241","",75415,"VAS","Amelanchier alnifolia","non-graminoid","non-infrataxon","secure","unknown","voucher",Inf,0,1
"Amsinckia menziesii","(Lehm.) A. Nelson & J.F. Macbr.","","small-flowered fiddleneck","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Boraginales","",NA,"Boraginaceae","Cynoglossoideae","Cynoglosseae","","","","native","S5","","confirmed","observed","1984-06-02","Harvey Janszen","RBCM","V129555",1949578498,"2017-04-30","Andrew Simon","iNat:6047543","Bellhouse; dry hayfield",55436,"VAS","Amsinckia menziesii","non-graminoid","non-infrataxon","secure","unknown","unknown",NA,NA,NA
"Anaphalis margaritacea","(L.) Benth. & Hook.f.","","pearly everlasting","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales","",NA,"Asteraceae","Asteroideae","Gnaphalieae","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2015-06-24","Lauren Magner & Andrew Simon","iNat:2564129","",52833,"VAS","Anaphalis margaritacea","non-graminoid","non-infrataxon","secure","unknown","voucher",Inf,0,1
"Andromeda polifolia var. polifolia","L.","","bog-rosemary","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ericales","",NA,"Ericaceae","Vaccinioideae","Andromedeae","","","polifolia","native","S4","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","",239202,"VAS","Andromeda polifolia var. polifolia","non-graminoid","infrataxon","secure","unknown","no_voucher",31.247,0.031,0.969
"Angelica genuflexa","Nutt.","","kneeling angelica","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Apiales","",NA,"Apiaceae","Apioideae","Selineae","","","","native","S5","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","",75450,"VAS","Angelica genuflexa","non-graminoid","non-infrataxon","secure","unknown","no_voucher",Inf,0,1
"Anisocarpus madioides","Nutt.","","woodland tarweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales","",NA,"Asteraceae","Asteroideae","Madieae","","","","native","S5","","confirmed","observed","1986-08-17","William J. Crins","UBC","V190868",NA,"2015-05-14","Andrew Simon","iNat:2617714","reported as Madia madioides",53137,"VAS","Anisocarpus madioides","non-graminoid","non-infrataxon","secure","unknown","no_voucher",Inf,0,1
"Anthemis cotula","L.","","stinking chamomile","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales","",NA,"Asteraceae","Asteroideae","Anthemideae","","","","exotic","unlisted","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","",52841,"VAS","Anthemis cotula","non-graminoid","non-infrataxon","unknown","unknown","unknown",NA,NA,NA
"Anthoxanthum aristatum ssp. aristatum","Boiss.","","annual vernalgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","aristatum","","exotic","unlisted","","confirmed","observed","1981-07-07","Harvey Janszen","RBCM","V113759",1949562820,"2015-05-04","Lauren Magner & Andrew Simon","iNat:2569330","",79576,"VAS","Anthoxanthum aristatum ssp. aristatum","graminoid","infrataxon","unknown","unknown","unknown",NA,NA,NA
"Anthoxanthum odoratum","L.","","sweet vernalgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Poales","",NA,"Poaceae","Pooideae","Poeae","","","","exotic","unlisted","","confirmed","observed","1975-06-07","Angela Wood","RBCM","V097414",1949546363,"2015-04-21","Andrew Simon","iNat:2567283","",75475,"VAS","Anthoxanthum odoratum","graminoid","non-infrataxon","unknown","unknown","voucher",Inf,0,1
"Anthriscus caucalis","M. Bieb.","","bur chervil","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Apiales","",NA,"Apiaceae","Apioideae","Scandiceae","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2016-04-23","Andrew Simon","iNat:3027391","",52846,"VAS","Anthriscus caucalis","non-graminoid","non-infrataxon","unknown","unknown","no_voucher",125.005,0.008,0.992
"Antirrhinum majus","L.","","snapdragon","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Lamiales","",NA,"Plantaginaceae","","Antirrhineae","","","","exotic","unlisted","","new 2019","observed","","","","",NA,"2019-05-29","Larissa Marie","iNat:26035340","",1229777,"VAS","Antirrhinum majus","non-graminoid","non-infrataxon","unknown","unknown","unknown",NA,NA,NA
"Aphyllon californicum ssp. californicum","(Cham. & Schltdl.) A. Gray","","California broomrape","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Lamiales","",NA,"Orobanchaceae","","Orobancheae","","californicum","","native","S4","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"","","","Reported as Orobanche californica",802465,"VAS","Aphyllon californicum ssp. californicum","non-graminoid","infrataxon","secure","unknown","no_voucher",62.999,0.016,0.984
"Aphyllon purpureum","(A. Heller) Holub","","western one-flowered broomrape","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Lamiales","",NA,"Orobanchaceae","","Orobancheae","","","","native","S5","","confirmed","observed","1961-05-08","J. A. Calder","UBC","V224992",NA,"2007-05-04","Karolle Wall","iNat:5672024","Reported as Orobanche uniflora",739040,"VAS","Aphyllon purpureum","non-graminoid","non-infrataxon","secure","unknown","unknown",NA,NA,NA
"Apocynum androsaemifolium","L.","","spreading dogbane","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Gentianales","",NA,"Apocynaceae","Apocynoideae","Apocyneae","","","","native","S5","","reported","unobserved","1984-06-02","Harvey Janszen","RBCM","V129556",NA,"","","","Hydro cut line on Montague Harbour Road",47359,"VAS","Apocynum androsaemifolium","non-graminoid","non-infrataxon","secure","unknown","voucher",Inf,0,1
"Aquilegia formosa","Fisch. ex DC.","","western columbine","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ranunculales","",NA,"Ranunculaceae","Thalictroideae","","","","","native","S5","","confirmed","observed","1979-06-08","Harvey Janszen","RBCM","V097819",NA,"2020-04-24","Andrew Simon","iNat:3028222","gorge between Mt Galiano and Mt Sutil",48244,"VAS","Aquilegia formosa","non-graminoid","non-infrataxon","secure","unknown","voucher",Inf,0,1
"Arabis eschscholtziana","Andrz.","","Eschscholtz's rockcress","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales","",NA,"Brassicaceae","Brassicoideae","Arabideae","","","","native","S5","","confirmed","observed","1930-04-14","William Newcombe","RBCM","V025791",1949475366,"2016-04-23","Andrew Simon","iNat:3028222","",75494,"VAS","Arabis eschscholtziana","non-graminoid","non-infrataxon","secure","unknown","voucher",30.75,0.031,0.969
"Arbutus menziesii","Pursh","","arbutus","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ericales","",NA,"Ericaceae","Arbutoideae","","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","",NA,"2003-11-03","Larry Halverson","iNat:192850865","",51046,"VAS","Arbutus menziesii","non-graminoid","non-infrataxon","secure","unknown","voucher",Inf,0,1
"Arceuthobium douglasii","Engelm.","","Douglas' dwarf mistletoe","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Santalales","",NA,"Santalaceae","","Visceae","","","","native","S4S5","","new 2016","observed","","","","",NA,"2016-03-20","Alison, Laura and Malcolm Colwell","iNat:2809040","FL - doubtful; confirm",75500,"VAS","Arceuthobium douglasii","non-graminoid","non-infrataxon","secure","unknown","unknown",NA,NA,NA
"Arctium lappa","L.","","greater burdock","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales","",NA,"Asteraceae","Carduoideae","Cardueae","","","","exotic","unlisted","","new 2020","observed","","","","",NA,"2020-08-10","Sylvie Hawkes","iNat:62565821","",75501,"VAS","Arctium lappa","non-graminoid","non-infrataxon","unknown","unknown","no_voucher",Inf,0,1
"Arctium minus","(Hill.) Bernh.","","common burdock","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales","",NA,"Asteraceae","Carduoideae","Cardueae","","","","exotic","unlisted","","confirmed","observed","1975-01-01","Harvey Janszen","RBCM","?",NA,"2015-07-08","Lauren Magner & Andrew Simon","iNat:2563307","",59570,"VAS","Arctium minus","non-graminoid","non-infrataxon","unknown","unknown","voucher",Inf,0,1
