scientificName,introduction_status,reportingStatus,infrataxon_status,provincial_concern,provenance_status,solow_EP,phylum,iNaturalistTaxonId,iNaturalistTaxonName,kingdom,subphylum,class,subclass,superorder,order,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,nameStatus
Danthonia californica,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,57165,Danthonia californica,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,californica,,,accepted
Danthonia decumbens,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta,76603,Danthonia decumbens,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,decumbens,,,accepted
Danthonia intermedia,native,new 2017,non-infrataxon,secure,voucher,0,Tracheophyta,76604,Danthonia intermedia,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,intermedia,,,accepted
Daphne laureola,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,127391,Daphne laureola,Plantae,Angiospermae,Magnoliopsida,,,Malvales,,,Thymelaeaceae,,,Daphne,laureola,,,accepted
Datura stramonium,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,55854,Datura stramonium,Plantae,Angiospermae,Magnoliopsida,,,Solanales,,,Solanaceae,Solanoideae,Datureae,Datura,stramonium,,,accepted
Daucus carota,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,76610,Daucus carota,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Scandiceae,Daucus,carota,,,accepted
Daucus pusillus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,56726,Daucus pusillus,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Scandiceae,Daucus,pusillus,,,accepted
Delphinium ajacis,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,401314,Delphinium ajacis,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Delphinieae,Delphinium,ajacis,,,accepted
Delphinium menziesii,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,153479,Delphinium menziesii,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Delphinieae,Delphinium,menziesii,,,accepted
Deschampsia cespitosa,native,new 2016,non-infrataxon,secure,no_voucher,0,Tracheophyta,76639,Deschampsia cespitosa,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,cespitosa,,,accepted
Deschampsia danthonioides,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta,57164,Deschampsia danthonioides,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,danthonioides,,,accepted
Deschampsia elongata,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta,52722,Deschampsia elongata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Deschampsia,elongata,,,accepted
Dianthus armeria,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,64541,Dianthus armeria,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Dianthus,armeria,,,accepted
Digitalis purpurea,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,53983,Digitalis purpurea,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Digitalideae,Digitalis,purpurea,,,accepted
Dipsacus fullonum,exotic,new 2017,non-infrataxon,unknown,no_voucher,0.024,Tracheophyta,56002,Dipsacus fullonum,Plantae,Angiospermae,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Dipsacoideae,,Dipsacus,fullonum,,,accepted
Distichlis spicata,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,58372,Distichlis spicata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Chloridoideae,Cynodonteae,Distichlis,spicata,,,accepted
Draba verna,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,55823,Draba verna,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Draba,verna,,,accepted
Drosera rotundifolia,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,52658,Drosera rotundifolia,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Droseraceae,,,Drosera,rotundifolia,,,accepted
Dryopteris expansa,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,64055,Dryopteris expansa,Plantae,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Dryopteridaceae,Dryopteridoideae,,Dryopteris,expansa,,,accepted
Dulichium arundinaceum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,76745,Dulichium arundinaceum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Dulichieae,Dulichium,arundinaceum,,,accepted
Echinochloa crus-galli,exotic,new 2022,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta,60283,Echinochloa crus-galli,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Echinochloa,crus-galli,,,accepted
Echinops sphaerocephalus,exotic,new 2018,non-infrataxon,unknown,unknown,,Tracheophyta,76762,Echinops sphaerocephalus,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,Cardueae,Echinops,sphaerocephalus,,,accepted
Echium vulgare,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta,56174,Echium vulgare,Plantae,Angiospermae,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,Lithospermeae,Echium,vulgare,,,accepted
Eleocharis obtusa,native,new 2017,non-infrataxon,secure,no_voucher,0.008,Tracheophyta,76779,Eleocharis obtusa,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,obtusa,,,accepted
Eleocharis palustris,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,76782,Eleocharis palustris,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,palustris,,,accepted
Elodea canadensis,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,76793,Elodea canadensis,Plantae,Angiospermae,Liliopsida,,,Alismatales,,,Hydrocharitaceae,,,Elodea,canadensis,,,accepted
Elymus glaucus ssp. glaucus,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,57171,Elymus glaucus glaucus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Elymus,glaucus,Elymus glaucus glaucus,,accepted
Elymus repens,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,60284,Elymus repens,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Elymus,repens,,,accepted
Empetrum nigrum,native,new 2016,non-infrataxon,secure,voucher,0,Tracheophyta,76812,Empetrum nigrum,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,Empetreae,Empetrum,nigrum,,,accepted
Epilobium brachycarpum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,52971,Epilobium brachycarpum,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Epilobium,brachycarpum,,,accepted
Epilobium ciliatum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,53050,Epilobium ciliatum,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Epilobium,ciliatum,,,accepted
Epilobium densiflorum,native,new 2016,non-infrataxon,concern,unknown,,Tracheophyta,57149,Epilobium densiflorum,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Epilobium,densiflorum,,,accepted
Epilobium hallianum,native,new 2022,non-infrataxon,secure,unknown,,Tracheophyta,76831,Epilobium hallianum,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Epilobium,hallianum,,,accepted
Epilobium leptophyllum,native,new 2022,non-infrataxon,secure,unknown,,Tracheophyta,76835,Epilobium leptophyllum,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Epilobium,leptophyllum,,,accepted
Epilobium minutum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,57150,Epilobium minutum,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Epilobium,minutum,,,accepted
Epilobium ravenii,native,new 2016,non-infrataxon,secure,unknown,,Tracheophyta,1490819,Epilobium ravenii,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Epilobium,ravenii,,,accepted
Epipactis helleborine,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta,50717,Epipactis helleborine,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Neottieae,Epipactis,helleborine,,,accepted
Equisetum arvense,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,52724,Equisetum arvense,Plantae,,Polypodiopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,Equisetum,arvense,,,accepted
Equisetum hyemale ssp. affine,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta,53910,Equisetum hyemale affine,Plantae,,Polypodiopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,Equisetum,hyemale,Equisetum hyemale affine,,accepted
Equisetum telmateia ssp. braunii,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta,57032,Equisetum telmateia braunii,Plantae,,Polypodiopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,Equisetum,telmateia,Equisetum telmateia braunii,,accepted
Erigeron canadensis,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta,76907,Erigeron canadensis,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Astereae,Erigeron,canadensis,,,accepted
Eriocoma lemmonii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,1220721,Eriocoma lemmonii,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Stipeae,Eriocoma,lemmonii,,,accepted
Eriophorum chamissonis,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta,162678,Eriophorum chamissonis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Scirpeae,Eriophorum,chamissonis,,,accepted
Eriophorum gracile,native,new 2017,non-infrataxon,secure,unknown,,Tracheophyta,77045,Eriophorum gracile,Plantae,Angiospermae,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Scirpeae,Eriophorum,gracile,,,accepted
Eriophyllum lanatum var. leucophyllum,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,240700,Eriophyllum lanatum leucophyllum,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Madieae,Eriophyllum,lanatum,,Eriophyllum lanatum leucophyllum,accepted
Erodium cicutarium,exotic,confirmed,infrataxon,unknown,no_voucher,0,Tracheophyta,47687,Erodium cicutarium,Plantae,Angiospermae,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,Erodium,cicutarium,,,accepted
Erysimum cheiranthoides,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta,77068,Erysimum cheiranthoides,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Erysimeae,Erysimum,cheiranthoides,,,accepted
Erythranthe alsinoides,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,771843,Erythranthe alsinoides,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Phrymaceae,,,Erythranthe,alsinoides,,,accepted
Erythranthe cf guttata,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,470643,Erythranthe guttata,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Phrymaceae,,,Erythranthe,guttata,,,accepted
Erythranthe microphylla,native,new 2017,non-infrataxon,secure,voucher,0,Tracheophyta,453717,Erythranthe microphylla,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Phrymaceae,,,Erythranthe,microphylla,,,accepted
Erythranthe nasuta,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta,545973,Erythranthe nasuta,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Phrymaceae,,,Erythranthe,nasuta,,,accepted
Erythranthe ptilota,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,771908,Erythranthe ptilota,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Phrymaceae,,,Erythranthe,ptilota,,,accepted
Erythranthe sookensis,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,0,,,,,,,,,,,,,,,,,unknown
Erythronium oregonum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,59520,Erythronium oregonum,Plantae,Angiospermae,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Erythronium,oregonum,,,accepted
Erythronium oregonum × revolutum,native,new 2016,non-infrataxon,secure,unknown,,Tracheophyta,1459210,Erythronium oregonum × revolutum,Plantae,Angiospermae,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Erythronium,,,,accepted
Eschscholzia californica,exotic,confirmed,non-infrataxon,unknown,voucher,0.008,Tracheophyta,48224,Eschscholzia californica californica,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Papaveroideae,Eschscholzieae,Eschscholzia,californica,Eschscholzia californica californica,,unaccepted
Euphorbia cyparissias,exotic,new 2017,non-infrataxon,unknown,no_voucher,0,Tracheophyta,55766,Euphorbia cyparissias,Plantae,Angiospermae,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,cyparissias,,,accepted
Euphorbia myrsinites,exotic,new 2019,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta,82511,Euphorbia myrsinites,Plantae,Angiospermae,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,myrsinites,,,accepted
Euphorbia peplus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,57036,Euphorbia peplus,Plantae,Angiospermae,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,peplus,,,accepted
Euphrasia nemorosa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,118893,Euphrasia nemorosa,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Rhinantheae,Euphrasia,nemorosa,,,accepted
Fallopia convolvulus,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta,77129,Fallopia convolvulus,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,Polygoneae,Fallopia,convolvulus,,,accepted
Festuca bromoides,exotic,confirmed,non-infrataxon,unknown,voucher,0.053,Tracheophyta,77136,Festuca bromoides,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,bromoides,,,accepted
Festuca microstachys var. pauciflora,native,confirmed,infrataxon,secure,no_voucher,0.016,Tracheophyta,1377236,Festuca microstachys pauciflora,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,microstachys,,Festuca microstachys pauciflora,accepted
Festuca myuros,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,77140,Festuca myuros,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,myuros,,,accepted
Festuca occidentalis,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,59091,Festuca occidentalis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,occidentalis,,,accepted
Festuca roemeri var. roemeri,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,240796,Festuca roemeri roemeri,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,roemeri,,Festuca roemeri roemeri,accepted
Festuca rubra ssp. pruinosa,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,181758,Festuca rubra pruinosa,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,rubra,Festuca rubra pruinosa,,accepted
Festuca rubra ssp. rubra,native,new 2022,infrataxon,secure,unknown,,Tracheophyta,181759,Festuca rubra rubra,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,rubra,Festuca rubra rubra,,accepted
Festuca subulata,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,77145,Festuca subulata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,subulata,,,accepted
Festuca subuliflora,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,77146,Festuca subuliflora,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,subuliflora,,,accepted
Festuca trachyphylla,exotic,new 2021,non-infrataxon,unknown,unknown,,Tracheophyta,77148,Festuca trachyphylla,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,trachyphylla,,,accepted
Filago germanica,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,634625,Filago germanica,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Gnaphalieae,Filago,germanica,,,accepted
Fragaria chiloensis,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta,55367,Fragaria chiloensis,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Fragaria,chiloensis,,,accepted
Fragaria vesca ssp. bracteata,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta,236055,Fragaria vesca bracteata,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Fragaria,vesca,Fragaria vesca bracteata,,accepted
Frangula purshiana,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,77156,Frangula purshiana,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rhamnaceae,,Rhamneae,Frangula,purshiana,,,accepted
Fritillaria affinis,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,50618,Fritillaria affinis,Plantae,Angiospermae,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Fritillaria,affinis,,,accepted
Fumaria muralis,exotic,new 2022,non-infrataxon,unknown,no_voucher,0,Tracheophyta,129075,Fumaria muralis,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,Fumarieae,Fumaria,muralis,,,accepted
Fumaria officinalis,exotic,reported,non-infrataxon,unknown,no_voucher,0.023,Tracheophyta,53785,Fumaria officinalis,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,Fumarieae,Fumaria,officinalis,,,accepted
Fumaria reuteri,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,132710,Fumaria reuteri,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,Fumarieae,Fumaria,reuteri,,,accepted
Galanthus nivalis,exotic,new 2017,non-infrataxon,unknown,no_voucher,0,Tracheophyta,51606,Galanthus nivalis,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,Galantheae,Galanthus,nivalis,,,accepted
Galinsoga quadriradiata,exotic,new 2016,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta,56170,Galinsoga quadriradiata,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Millerieae,Galinsoga,quadriradiata,,,accepted
Galium aparine,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,53059,Galium aparine,Plantae,Angiospermae,Magnoliopsida,,,Gentianales,,,Rubiaceae,Rubioideae,Rubieae,Galium,aparine,,,accepted
Galium mollugo,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta,77206,Galium mollugo,Plantae,Angiospermae,Magnoliopsida,,,Gentianales,,,Rubiaceae,Rubioideae,Rubieae,Galium,mollugo,,,accepted
Galium trifidum,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta,77216,Galium trifidum,Plantae,Angiospermae,Magnoliopsida,,,Gentianales,,,Rubiaceae,Rubioideae,Rubieae,Galium,trifidum,,,accepted
Galium triflorum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,53065,Galium triflorum,Plantae,Angiospermae,Magnoliopsida,,,Gentianales,,,Rubiaceae,Rubioideae,Rubieae,Galium,triflorum,,,accepted
Gamochaeta ustulata,native,new 2015,non-infrataxon,unknown,no_voucher,0,Tracheophyta,77224,Gamochaeta ustulata,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Gnaphalieae,Gamochaeta,ustulata,,,accepted
Gaultheria shallon,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,48441,Gaultheria shallon,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,Gaultherieae,Gaultheria,shallon,,,accepted
Geranium bicknellii,native,reported,non-infrataxon,secure,unknown,,Tracheophyta,77251,Geranium bicknellii,Plantae,Angiospermae,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,Geranium,bicknellii,,,accepted
Geranium carolinianum,native,confirmed,non-infrataxon,secure,voucher,0.008,Tracheophyta,58917,Geranium carolinianum,Plantae,Angiospermae,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,Geranium,carolinianum,,,accepted
Geranium dissectum,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,53075,Geranium dissectum,Plantae,Angiospermae,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,Geranium,dissectum,,,accepted
Geranium molle,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,53076,Geranium molle,Plantae,Angiospermae,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,Geranium,molle,,,accepted
Geranium pusillum,exotic,reported,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta,60204,Geranium pusillum,Plantae,Angiospermae,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,Geranium,pusillum,,,accepted
Geranium robertianum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,55925,Geranium robertianum,Plantae,Angiospermae,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,Geranium,robertianum,,,accepted
Geranium versicolor,exotic,new 2021,non-infrataxon,unknown,unknown,,Tracheophyta,163267,Geranium versicolor,Plantae,Angiospermae,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,Geranium,versicolor,,,accepted
Geum macrophyllum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,77266,Geum macrophyllum,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Colurieae,Geum,macrophyllum,,,accepted
Glechoma hederacea,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,55830,Glechoma hederacea,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,Mentheae,Glechoma,hederacea,,,accepted
Glyceria borealis,native,reported,non-infrataxon,secure,no_voucher,0.031,Tracheophyta,77287,Glyceria borealis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Meliceae,Glyceria,borealis,,,accepted
Glyceria elata,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta,77289,Glyceria elata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Meliceae,Glyceria,elata,,,accepted
Glyceria leptostachya,native,reported,non-infrataxon,secure,unknown,,Tracheophyta,77292,Glyceria leptostachya,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Meliceae,Glyceria,leptostachya,,,accepted
Glyceria striata,native,reported,non-infrataxon,secure,voucher,0.031,Tracheophyta,77293,Glyceria striata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Meliceae,Glyceria,striata,,,accepted
Gnaphalium palustre,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,57980,Gnaphalium palustre,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Gnaphalieae,Gnaphalium,palustre,,,accepted
Gnaphalium uliginosum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,136366,Gnaphalium uliginosum,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Gnaphalieae,Gnaphalium,uliginosum,,,accepted
Goodyera oblongifolia,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,50719,Goodyera oblongifolia,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,Cranichideae,Goodyera,oblongifolia,,,accepted
Graphephorum canescens,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,1538928,Graphephorum canescens,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Graphephorum,canescens,,,accepted
Graphephorum cernuum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,1538926,Graphephorum cernuum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Graphephorum,cernuum,,,accepted
Grindelia hirsutula,native,new 2016,non-infrataxon,secure,voucher,0.022,Tracheophyta,55364,Grindelia hirsutula,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Astereae,Grindelia,hirsutula,,,accepted
Grindelia squarrosa,native,reported,non-infrataxon,unknown,unknown,,Tracheophyta,77305,Grindelia squarrosa,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Astereae,Grindelia,squarrosa,,,accepted
Grindelia stricta,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,61992,Grindelia stricta,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Astereae,Grindelia,stricta,,,accepted
Hedera helix,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,55882,Hedera helix,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Araliaceae,Aralioideae,,Hedera,helix,,,accepted
Hedera hibernica,exotic,new 2022,non-infrataxon,unknown,no_voucher,0,Tracheophyta,163549,Hedera hibernica,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Araliaceae,Aralioideae,,Hedera,hibernica,,,accepted
Hemitomes congestum,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta,54663,Hemitomes congestum,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Monotropoideae,,Hemitomes,congestum,,,accepted
Hesperis matronalis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,47697,Hesperis matronalis,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Hesperideae,Hesperis,matronalis,,,accepted
